Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,5,19,0,CZ0TNUJ,PM10,17.0
2013,5,19,0,CZ0TNUJ,PM10,17.0
2013,5,20,0,CZ0TNUJ,PM10,11.0
2013,5,20,0,CZ0TNUJ,PM10,11.0
2013,5,21,0,CZ0TNUJ,PM10,11.0
2013,5,21,0,CZ0TNUJ,PM10,11.0
2013,5,22,0,CZ0TNUJ,PM10,12.0
2013,5,22,0,CZ0TNUJ,PM10,12.0
2013,5,23,0,CZ0TNUJ,PM10,24.0
2013,5,23,0,CZ0TNUJ,PM10,24.0
2013,5,24,0,CZ0TNUJ,PM10,29.0
2013,5,24,0,CZ0TNUJ,PM10,29.0
2013,5,25,0,CZ0TNUJ,PM10,15.0
2013,5,25,0,CZ0TNUJ,PM10,15.0
2013,5,26,0,CZ0TNUJ,PM10,9.0
2013,5,26,0,CZ0TNUJ,PM10,9.0
2013,5,27,0,CZ0TNUJ,PM10,8.0
2013,5,27,0,CZ0TNUJ,PM10,8.0
2013,5,28,0,CZ0TNUJ,PM10,11.0
2013,5,28,0,CZ0TNUJ,PM10,11.0
2013,5,29,0,CZ0TNUJ,PM10,15.0
2013,5,29,0,CZ0TNUJ,PM10,15.0
2013,5,30,0,CZ0TNUJ,PM10,16.0
2013,5,30,0,CZ0TNUJ,PM10,16.0
2013,5,31,0,CZ0TNUJ,PM10,12.0
2013,5,31,0,CZ0TNUJ,PM10,12.0
2013,6,1,0,CZ0TNUJ,PM10,13.0
2013,6,1,0,CZ0TNUJ,PM10,13.0
2013,6,2,0,CZ0TNUJ,PM10,11.0
2013,6,2,0,CZ0TNUJ,PM10,11.0
2013,6,3,0,CZ0TNUJ,PM10,5.0
2013,6,3,0,CZ0TNUJ,PM10,5.0
2013,6,4,0,CZ0TNUJ,PM10,8.0
2013,6,4,0,CZ0TNUJ,PM10,8.0
2013,6,5,0,CZ0TNUJ,PM10,17.0
2013,6,5,0,CZ0TNUJ,PM10,17.0
2013,6,6,0,CZ0TNUJ,PM10,29.0
2013,6,6,0,CZ0TNUJ,PM10,29.0
2013,6,7,0,CZ0TNUJ,PM10,27.0
2013,6,7,0,CZ0TNUJ,PM10,27.0
2013,6,8,0,CZ0TNUJ,PM10,32.0
2013,6,8,0,CZ0TNUJ,PM10,32.0
2013,6,9,0,CZ0TNUJ,PM10,13.0
2013,6,9,0,CZ0TNUJ,PM10,13.0
2013,6,10,0,CZ0TNUJ,PM10,12.0
2013,6,10,0,CZ0TNUJ,PM10,12.0
2013,6,11,0,CZ0TNUJ,PM10,10.0
2013,6,11,0,CZ0TNUJ,PM10,10.0
2013,6,12,0,CZ0TNUJ,PM10,14.0
2013,6,12,0,CZ0TNUJ,PM10,14.0
2013,6,13,0,CZ0TNUJ,PM10,19.0
2013,6,13,0,CZ0TNUJ,PM10,19.0
2013,6,14,0,CZ0TNUJ,PM10,18.0
2013,6,14,0,CZ0TNUJ,PM10,18.0
2013,6,15,0,CZ0TNUJ,PM10,24.0
2013,6,15,0,CZ0TNUJ,PM10,24.0
