Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,2,18,0,CZ0TCEL,PM10,49.0
2013,2,19,0,CZ0TCEL,PM10,15.0
2013,2,19,0,CZ0TCEL,PM10,15.0
2013,2,20,0,CZ0TCEL,PM10,26.0
2013,2,20,0,CZ0TCEL,PM10,26.0
2013,2,21,0,CZ0TCEL,PM10,57.0
2013,2,21,0,CZ0TCEL,PM10,57.0
2013,2,22,0,CZ0TCEL,PM10,67.0
2013,2,22,0,CZ0TCEL,PM10,67.0
2013,2,23,0,CZ0TCEL,PM10,135.0
2013,2,23,0,CZ0TCEL,PM10,135.0
2013,2,24,0,CZ0TCEL,PM10,64.0
2013,2,24,0,CZ0TCEL,PM10,64.0
2013,2,25,0,CZ0TCEL,PM10,84.0
2013,2,25,0,CZ0TCEL,PM10,84.0
2013,2,26,0,CZ0TCEL,PM10,34.0
2013,2,26,0,CZ0TCEL,PM10,34.0
2013,2,27,0,CZ0TCEL,PM10,47.0
2013,2,27,0,CZ0TCEL,PM10,47.0
2013,2,28,0,CZ0TCEL,PM10,70.0
2013,2,28,0,CZ0TCEL,PM10,70.0
2013,3,1,0,CZ0TCEL,PM10,21.0
2013,3,1,0,CZ0TCEL,PM10,21.0
2013,3,2,0,CZ0TCEL,PM10,23.0
2013,3,2,0,CZ0TCEL,PM10,23.0
2013,3,3,0,CZ0TCEL,PM10,29.0
2013,3,3,0,CZ0TCEL,PM10,29.0
2013,3,4,0,CZ0TCEL,PM10,31.0
2013,3,4,0,CZ0TCEL,PM10,31.0
2013,3,5,0,CZ0TCEL,PM10,16.0
2013,3,5,0,CZ0TCEL,PM10,16.0
2013,3,6,0,CZ0TCEL,PM10,21.0
2013,3,6,0,CZ0TCEL,PM10,21.0
2013,3,7,0,CZ0TCEL,PM10,24.0
2013,3,7,0,CZ0TCEL,PM10,24.0
2013,3,8,0,CZ0TCEL,PM10,64.0
2013,3,8,0,CZ0TCEL,PM10,64.0
2013,3,9,0,CZ0TCEL,PM10,69.0
2013,3,9,0,CZ0TCEL,PM10,69.0
2013,3,10,0,CZ0TCEL,PM10,35.0
2013,3,10,0,CZ0TCEL,PM10,35.0
2013,3,11,0,CZ0TCEL,PM10,51.0
2013,3,11,0,CZ0TCEL,PM10,51.0
2013,3,12,0,CZ0TCEL,PM10,106.0
2013,3,12,0,CZ0TCEL,PM10,106.0
2013,3,13,0,CZ0TCEL,PM10,98.0
2013,3,13,0,CZ0TCEL,PM10,98.0
2013,3,14,0,CZ0TCEL,PM10,53.0
2013,3,14,0,CZ0TCEL,PM10,53.0
2013,3,15,0,CZ0TCEL,PM10,28.0
2013,3,15,0,CZ0TCEL,PM10,28.0
2013,3,16,0,CZ0TCEL,PM10,31.0
2013,3,16,0,CZ0TCEL,PM10,31.0
2013,3,17,0,CZ0TCEL,PM10,17.0
2013,3,17,0,CZ0TCEL,PM10,17.0
2013,3,18,0,CZ0TCEL,PM10,11.0
2013,3,18,0,CZ0TCEL,PM10,11.0
2013,3,19,0,CZ0TCEL,PM10,12.0
2013,3,19,0,CZ0TCEL,PM10,12.0
2013,3,20,0,CZ0TCEL,PM10,23.0
2013,3,20,0,CZ0TCEL,PM10,23.0
2013,3,21,0,CZ0TCEL,PM10,39.0
2013,3,21,0,CZ0TCEL,PM10,39.0
2013,3,22,0,CZ0TCEL,PM10,51.0
2013,3,22,0,CZ0TCEL,PM10,51.0
2013,3,23,0,CZ0TCEL,PM10,45.0
2013,3,23,0,CZ0TCEL,PM10,45.0
2013,3,24,0,CZ0TCEL,PM10,51.0
2013,3,24,0,CZ0TCEL,PM10,51.0
2013,3,25,0,CZ0TCEL,PM10,41.0
2013,3,25,0,CZ0TCEL,PM10,41.0
2013,3,26,0,CZ0TCEL,PM10,34.0
2013,3,26,0,CZ0TCEL,PM10,34.0
2013,3,27,0,CZ0TCEL,PM10,66.0
2013,3,27,0,CZ0TCEL,PM10,66.0
2013,3,28,0,CZ0TCEL,PM10,27.0
2013,3,28,0,CZ0TCEL,PM10,27.0
2013,3,29,0,CZ0TCEL,PM10,29.0
2013,3,29,0,CZ0TCEL,PM10,29.0
2013,3,30,0,CZ0TCEL,PM10,66.0
2013,3,30,0,CZ0TCEL,PM10,66.0
2013,3,31,0,CZ0TCEL,PM10,37.0
2013,3,31,0,CZ0TCEL,PM10,37.0
2013,4,1,0,CZ0TCEL,PM10,27.0
2013,4,1,0,CZ0TCEL,PM10,27.0
2013,4,2,0,CZ0TCEL,PM10,53.0
2013,4,2,0,CZ0TCEL,PM10,53.0
